year,category,metric,rate_per_100k,count,population,confidence,notes
2015,homicide,per_capita,2.08,964,46384379,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2016,homicide,per_capita,2.38,1107,46427100,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2017,homicide,per_capita,2.38,1106,46510461,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2018,homicide,per_capita,2.33,1088,46715383,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2019,homicide,per_capita,2.48,1167,47087778,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2020,homicide,per_capita,2.54,1201,47344852,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2021,homicide,per_capita,2.79,1322,47346836,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2022,homicide,per_capita,3.22,1539,47781354,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2023,homicide,per_capita,3.5,1692,48320520,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2015,homicide,spanish,2.03,846,41654735,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2016,homicide,spanish,2.26,943,41808519,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2017,homicide,spanish,2.24,938,41937654,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2018,homicide,spanish,2.21,927,41980692,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2019,homicide,spanish,2.3,969,42050900,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2020,homicide,spanish,2.01,844,41910699,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2021,homicide,spanish,2.08,873,41906688,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2022,homicide,spanish,2.41,1018,42238422,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2023,homicide,spanish,2.52,1063,42230900,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2015,robbery,foreign,224.08,10598,4729644,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2016,robbery,foreign,231.54,10694,4618581,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2017,robbery,foreign,208.56,9537,4572807,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2018,robbery,foreign,205.84,9746,4734691,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2019,robbery,foreign,218.89,11025,5036878,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2020,robbery,foreign,265.69,14438,5434153,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2021,robbery,foreign,284.55,15480,5440148,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2022,robbery,foreign,333.38,18479,5542932,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2023,robbery,foreign,348.48,21221,6089620,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2012,robbery,per_capita,1074.98,502546,46749303,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2013,robbery,per_capita,1004.29,467811,46581124,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2014,robbery,per_capita,895.33,415730,46433050,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2015,robbery,per_capita,834.95,387286,46384379,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2016,robbery,per_capita,820.89,381116,46427100,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2017,robbery,per_capita,781.54,363497,46510461,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2018,robbery,per_capita,775.63,362338,46715383,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2019,robbery,per_capita,772.96,363972,47087778,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2020,robbery,per_capita,558.36,264354,47344852,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2021,robbery,per_capita,596.05,282210,47346836,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2022,robbery,per_capita,689.17,329293,47781354,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2023,robbery,per_capita,698.15,337349,48320520,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2015,robbery,spanish,99.07,41266,41654735,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2016,robbery,spanish,90.41,37800,41808519,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2017,robbery,spanish,88.37,37060,41937654,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2018,robbery,spanish,85.89,36059,41980692,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2019,robbery,spanish,87.11,36629,42050900,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2020,robbery,spanish,60.77,25470,41910699,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2021,robbery,spanish,60.49,25350,41906688,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2022,robbery,spanish,66.94,28273,42238422,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2023,robbery,spanish,72.07,30435,42230900,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2015,sexual_assault,foreign,31.63,1496,4729644,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2016,sexual_assault,foreign,35.14,1623,4618581,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2017,sexual_assault,foreign,38.82,1775,4572807,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2018,sexual_assault,foreign,47.1,2230,4734691,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2019,sexual_assault,foreign,49.18,2477,5036878,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2020,sexual_assault,foreign,48.25,2622,5434153,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2021,sexual_assault,foreign,66.27,3605,5440148,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2022,sexual_assault,foreign,75.47,4183,5542932,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2023,sexual_assault,foreign,84.34,5136,6089620,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2012,sexual_assault,per_capita,19.27,9008,46749303,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2013,sexual_assault,per_capita,19.16,8923,46581124,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2014,sexual_assault,per_capita,20.39,9468,46433050,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2015,sexual_assault,per_capita,21.28,9869,46384379,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2016,sexual_assault,per_capita,23.36,10844,46427100,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2017,sexual_assault,per_capita,25.14,11692,46510461,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2018,sexual_assault,per_capita,29.5,13782,46715383,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2019,sexual_assault,per_capita,32.53,15319,47087778,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2020,sexual_assault,per_capita,27.83,13174,47344852,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2021,sexual_assault,per_capita,35.94,17016,47346836,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2022,sexual_assault,per_capita,39.79,19013,47781354,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2023,sexual_assault,per_capita,45.17,21825,48320520,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2015,sexual_assault,spanish,10.92,4548,41654735,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2016,sexual_assault,spanish,11.34,4740,41808519,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2017,sexual_assault,spanish,11.97,5021,41937654,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2018,sexual_assault,spanish,14.43,6058,41980692,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2019,sexual_assault,spanish,15.47,6506,42050900,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2020,sexual_assault,spanish,12.81,5369,41910699,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2021,sexual_assault,spanish,16.4,6872,41906688,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2022,sexual_assault,spanish,17.79,7516,42238422,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
2023,sexual_assault,spanish,20.44,8631,42230900,medium,"detenciones/investigados attributed to Spanish nationals, DERIVED as detenciones_total - detenciones_foreign (not a source-reported figure). Denominator = total population - foreign stock."
